id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
20th century	-0.5478	0.1349	1	31	62	2009.625488
abiotic factors	-0.8671	0.6477	1	58	116	2010.698745
abrupt changes	-0.5469	0.1359	1	31	62	2008.247788
abundance	0.1194	-0.1542	3	369	1394	2008.576098
access	-0.7431	0.0336	1	91	188	2011.56924
accumulation	0.6759	0.7307	4	42	84	2008.145056
accuracy	0.664	-0.2166	3	181	540	2010.08255
acids	1.0921	1.0641	4	29	58	2008.50144
acoustic	0.727	-0.6097	3	30	60	2007.782609
activity	1.0932	1.0652	4	29	58	2008.699084
addition	0.3616	-0.5577	3	168	478	2009.285986
adult	0.9945	0.7817	4	79	180	2007.718974
advance	-0.1717	0.0858	2	130	364	2009.278139
africa	-0.3295	0.3205	2	58	130	2008.243209
age	-0.9921	0.2055	1	89	186	2007.797965
agreement	-0.3973	-0.1637	1	92	200	2007.890269
air	-0.3206	0.507	2	38	76	2008.618101
alaska	-0.3751	-0.491	1	72	156	2008.146234
alaskan	0.1262	-0.6833	3	35	70	2008.305085
albatrosses	0.6615	-0.1382	3	45	90	2007.274436
allerod	-1.1833	0.3708	1	51	102	2007.594872
alnus	-1.213	-0.2305	1	82	190	2006.174194
alpinus	0.5533	-0.4836	3	114	316	2006.451128
alps	-0.8656	0.6466	1	58	116	2009.971568
america	-0.6477	-0.0346	2	111	256	2008.697703
amphipoda	-0.0467	-0.8474	2	20	40	2007.102273
amplification	0.5395	-0.243	3	210	622	2010.670509
analogue	-1.0517	-0.3937	1	46	92	2009.003268
analyses	-0.2943	-0.1322	1	418	1622	2009.301682
analysis	0.2402	-0.2335	3	523	2164	2009.366286
ancient	-0.7363	-0.0985	1	325	1186	2009.677796
animals	0.289	-0.3796	3	252	772	2008.315789
annelida	-0.3941	-0.5062	1	35	70	2010.306667
annular mode	-0.134	1.7877	4	32	64	2012.46283
anoxic	-1.1842	0.3682	1	51	102	2009.582645
antarctic	0.4406	0.0153	3	149	370	2007.820711
antarctic peninsula	0.583	-0.0662	6	57	114	2009.392737
antarctica	0.2574	0.1098	2	115	262	2007.877974
antarcticus	0.7273	-0.6107	3	30	60	2007.237542
anthropogenic	-0.4612	0.5915	1	85	180	2009.897004
anthropogenic activities	-0.8678	0.6502	1	58	116	2012.457895
apex	0.7277	-0.6093	3	30	60	2008.78836
application	-0.1984	-0.2106	2	303	1042	2010.011511
approach	0.2262	-0.2131	3	590	2924	2011.153242
aquatic	-0.1743	-0.8484	2	39	78	2009.572165
aquatic ecosystems	0.0317	-0.5935	2	73	166	2012.219331
archaea	-1.1861	0.3705	1	51	102	2011.462687
archipelago	-0.9849	-0.1586	1	68	146	2008.970938
archives	-1.1868	0.3672	1	51	102	2012.032657
arctic	-0.0503	-0.05	2	404	1522	2009.446222
arctic tundra	-0.6208	-0.5262	5	63	126	2009.478365
arctocephalus	1.1749	-0.3142	3	37	74	2006.525745
area	-0.2915	-0.1361	1	364	1250	2008.578401
argentina	-0.1337	1.7893	4	32	64	2009.432323
array	0.8425	-0.2281	3	38	76	2008.688032
arthropod	0.9833	-0.4267	3	57	140	2008.530864
asia	-0.4289	0.5073	2	39	84	2010.858426
aspect	0.8093	-0.5551	3	28	56	2009.986813
assemblages	-0.0287	-0.283	1	270	770	2007.880667
assessment	-0.0448	-0.0311	2	230	672	2011.123547
assignment	0.4422	0.1341	4	72	182	2010.006472
association	0.8083	-0.5549	3	28	56	2009.179096
atlantic	0.6822	0.0905	4	134	342	2008.590945
atlantic salmon	0.945	-0.1541	3	50	100	2007.210375
attention	-0.4221	0.2462	2	83	188	2010.284583
australia	0.7085	0.3205	4	125	292	2008.106865
australian	0.7616	0.1428	3	105	236	2008.113497
availability	0.636	-0.0742	3	117	264	2009.56451
awareness	-0.405	0.4675	2	54	126	2012.302521
background	0.6292	-0.4529	3	42	84	2009.681872
bacterial communities	-0.1061	-0.5838	1	40	80	2012.601134
basin	0.0333	-0.5446	3	16	32	2008.451393
bed	-0.1383	-0.1028	2	30	60	2008.925373
beetle	-0.3742	-0.4078	1	42	84	2007.399464
behavior	1.0929	1.0645	4	29	58	2008.780232
behaviour	-0.6299	0.0651	1	63	128	2008.035198
belowground	0.5769	-0.6446	6	25	50	2011.276074
belt	-0.1145	1.0039	2	10	20	2007.364949
benefits	-0.3146	0.1847	2	90	214	2011.531274
benthic invertebrates	0.5844	-0.0649	6	57	114	2009.01875
benthos	0.6805	0.1775	3	34	68	2008.292367
bering	0.8315	0.1938	3	53	126	2008.596391
beringia	-0.1073	-0.5829	1	40	80	2008.709135
beringian	-0.307	-0.378	1	29	58	2007.926554
beta	-0.4579	0.1196	5	92	200	2008.071429
betula	-1.1916	-0.311	1	137	376	2007.963087
bias	0.5241	-0.3811	3	179	554	2011.002385
biases	0.1476	-0.3209	3	155	500	2011.934239
binding	0.6304	-0.4524	3	42	84	2008.556436
biodiversity	-0.2528	-0.0367	2	476	2066	2012.141446
biogeography	-0.7463	-0.3283	1	43	86	2009.832552
biological	-0.1874	0.8046	2	36	92	2008.767241
biology	-0.3721	-0.4515	2	47	94	2008.464681
biomass	0.2888	-0.3262	6	173	458	2008.040883
biomes	-0.4987	-0.0393	1	44	88	2011.428571
biomonitoring	-0.001	-0.2754	2	190	634	2011.028409
birds	-0.045	-0.2552	1	97	216	2007.764282
blocking	0.6202	-0.3804	3	113	290	2012.348901
body	0.53	0.1122	6	96	206	2007.977291
body mass	0.7318	0.3012	4	30	60	2006.023529
boreal	-0.9012	-0.188	1	81	180	2009.748786
boundary	-1.1933	-0.188	1	49	98	2007.239183
bp	-0.7205	-0.268	1	268	814	2008.600087
breeding	0.0305	0.2629	2	72	150	2008.159905
brook	0.4789	-0.7398	3	24	48	2005.532995
brown trout	0.7264	-0.3648	3	81	190	2007.046053
bryophytes	-0.8067	-0.1025	1	139	364	2009.103647
building	-0.2543	0.4227	2	89	184	2010.464789
burning	-0.4822	0.4814	2	21	42	2009.814558
bycatch	0.1475	-0.1093	1	64	130	2011.567797
ca	0.3444	-0.7055	5	38	76	2008.009458
canada	1.0304	0.6457	3	31	62	2008.358354
capabilities	1.1752	-0.3153	3	37	74	2010.500666
capacity	-0.3448	0.3926	2	81	190	2009.597315
capelin	0.8666	0.0843	3	71	158	2007.427873
capital	-0.2958	0.7903	2	22	44	2012.401015
capture	0.7085	0.5912	4	70	142	2008.679206
carbon	-0.264	-0.0322	2	130	306	2009.564589
caribou	-0.161	-0.5183	1	23	46	2008.009542
case	0.5727	-0.4104	3	143	376	2008.95177
catch	0.4956	-0.9113	6	47	94	2008.484157
catchment	-0.8659	0.6491	1	58	116	2010.694125
cause	0.8688	0.4393	4	32	64	2008.342905
cell	-1.1858	0.3665	1	51	102	2008.211757
census	0.7054	-0.7396	6	45	90	2009.334385
century	-0.4675	-0.1759	1	125	332	2010.371507
cephalopod	0.8047	-0.4952	3	72	150	2006.5727
cetacean	0.8081	-0.5555	3	28	56	2008.761518
chain	0.541	-0.1064	3	162	410	2008.08967
challenges	-8e-04	-0.0265	2	145	424	2013.058999
changes	-0.2415	0.0693	1	590	2458	2009.682502
char	0.5404	-0.5293	3	126	364	2006.516199
characteristics	-0.249	-0.2347	5	42	90	2008.736404
characterization	0.1119	-0.1856	3	131	314	2010.633346
charr	0.4783	-0.7404	3	24	48	2005.653415
chemical	-0.5717	0.1411	2	24	48	2007.921949
chemistry	-0.6194	-0.5208	5	63	126	2007.680636
chile	-0.1355	1.789	4	32	64	2009.438087
