id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.1128	0.4101	4	278	856	8	2011.125
abundance	0.522	0.328	3	1204	16602	165	2012.159769
abundance indices	0.8211	0.485	4	198	540	5	2012.357143
acartia	-0.1586	0.8531	3	224	680	6	2010.142857
acc	-0.9261	-0.1848	1	229	682	6	2008.705882
access	0.3037	-0.1166	2	385	1208	12	2013.769679
accuracy	0.5891	-0.7232	2	329	1096	13	2012.031588
acidification	-0.5529	-0.3354	1	219	576	5	2014.569472
activity	-0.5219	-0.1791	1	599	2460	21	2011.741747
adaptation	0.6123	-0.3733	2	383	1232	11	2013.458029
adcp	-0.778	-0.4532	1	228	570	5	2007.919643
addition	-0.0739	-0.2578	1	781	3864	37	2012.072879
additive models	0.0434	0.821	4	294	884	7	2013.628571
adult	0.9608	0.0281	2	799	6392	66	2009.353846
advance	-0.1059	-0.4881	1	201	500	6	2012.223684
advection	-0.7129	-0.0102	1	720	3514	28	2010.324162
affinities	-0.2802	0.7568	3	241	670	5	2010.594595
age	1.109	-0.0856	2	755	5944	63	2010.368729
age 0	0.9182	0.2022	3	298	1078	11	2009.018349
age classes	1.2628	-0.0802	2	327	1326	15	2010.72973
age composition	1.2158	-0.4415	2	162	572	7	2009.8
age groups	1.2888	-0.0205	2	207	662	7	2005.066667
age structure	0.82	0.0543	2	317	1030	10	2011.933333
age-at-maturity	1.2057	-0.2622	2	188	586	7	2008.333333
aggregates	0.5801	-0.6464	2	170	450	6	2009.96124
aggregation	-0.274	-0.4279	1	181	466	5	2010.006757
agreement	-0.8212	0.0258	1	495	1946	15	2010.554303
air	-0.136	0.4311	4	404	1520	14	2011.976061
air temperature	-0.1208	0.4306	4	354	1290	12	2012.218924
al	-1.2957	-0.2606	1	175	434	5	2010.555118
alaska	0.0503	-0.1858	2	1438	41178	438	2010.597746
alaska bering sea	0.2983	0.7598	4	204	652	6	2009.366667
alaska climate	0.4437	0.6559	4	202	536	6	2012
alaska coastal current	-0.9297	-0.3472	1	458	2034	19	2005.93617
alaska current	-0.8628	-0.3685	1	405	1512	15	2005.647059
alaska gyre	-1.172	-0.0298	1	378	1430	12	2005.733333
alaska peninsula	0.681	-0.7001	2	232	752	7	2009.0625
alaska salmon	1.0625	-0.2437	2	173	438	5	2010
alaskan	-0.0422	-0.2799	1	879	5536	58	2011.071579
alaskan gyre	-0.9905	0.0435	1	421	1516	13	2003.6
alaskan sockeye salmon	1.3053	-0.073	2	205	668	7	2008.714286
alaskan stream	-0.8966	-0.3176	1	514	2430	25	2004.186441
aleutian	-0.1412	-0.0763	4	831	5046	52	2009.607143
aleutian islands	0.2876	0.1037	4	286	802	9	2009.933333
aleutian low	-0.4715	0.4592	4	581	2934	27	2010.541401
aleutian low pressure index	0.578	0.8025	4	182	518	5	2006
algorithm	-0.8996	-0.4545	1	258	742	8	2011.916828
alleles	0.9013	-0.8269	2	150	488	6	2010.842105
allocation	0.7667	-0.211	2	238	700	6	2012.932584
altimeter	-1.1911	-0.2927	1	288	978	11	2009.018667
altimeter data	-1.222	-0.2109	1	250	786	8	2007.217143
altimetry	-1.0952	-0.4757	1	321	1292	16	2011.731674
altimetry data	-1.2411	-0.4585	1	153	500	7	2011.834356
america	0.1246	-0.4628	2	640	3270	33	2011.440252
american	-0.134	-0.4537	1	194	510	6	2010.565574
