id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
abrasion	-0.473	0.7883	6	151	410	2008.1
abundance	-0.3553	-0.0372	5	464	2506	2008.576098
access	-0.0854	-0.5145	2	56	120	2011.56924
accumulation	0.2493	0.4038	1	377	1758	2008.145056
accuracy	-0.7969	-0.9087	2	54	128	2010.08255
action	-0.1934	-0.3342	5	113	292	2008.283128
activity	0.0149	0.4161	3	285	936	2008.610119
addition	-0.0387	-0.2778	3	181	512	2009.285986
adelaide	1.1181	0.5661	1	62	142	2006.574194
adult	1.0535	-0.0892	1	134	350	2007.718974
adverse effects	0.7578	0.3321	3	86	222	2010.733945
africa	0.9706	-0.2637	1	66	148	2008.243209
agar	0.1619	0.5255	3	50	106	2008.759259
age	0.3994	-0.7027	1	93	230	2007.797965
age classes	0.8809	-0.6851	1	42	90	2008.935897
aggregates	-0.3884	0.3121	3	150	400	2008.541433
agreement	-0.566	1.0739	4	41	84	2007.890269
air	-0.3997	0.7936	6	185	522	2008.618101
alaska	0.6425	-0.4393	1	101	238	2008.146234
albatrosses	1.2721	-0.2263	1	101	286	2007.274436
algae	1.0032	0.5396	4	83	184	2007.668015
algorithm	0.0068	-0.8781	2	43	90	2010.210584
alteration	0.3133	0.678	1	48	104	2008.680165
america	0.8881	-0.0451	1	113	288	2008.697703
amphipods	0.7699	-0.1309	1	66	140	2006.902137
analyses	-0.3874	-0.3892	5	180	468	2009.301682
analysis	-0.3842	-0.4592	2	402	1772	2009.366286
animals	0.3649	0.141	6	278	970	2008.315789
antarctic	0.4262	0.0098	1	344	1468	2007.820711
antarctic peninsula	0.8274	0.2165	1	88	230	2009.392737
antarctica	-0.0898	0.5199	6	283	972	2007.877974
anthropogenic	-0.3068	0.1085	5	136	328	2009.897004
application	-0.3538	-0.8547	2	101	264	2010.011511
approach	-0.3563	-0.1592	2	263	908	2011.153242
aquaculture	-0.8847	-0.2181	4	39	88	2011.376623
aquatic	-0.412	-0.9053	2	58	120	2009.572165
arc	0.9989	0.5944	4	106	222	2008.731343
archipelago	0.6607	-0.3582	5	65	144	2008.970938
arctic	-0.1603	0.0216	5	459	2678	2009.446222
arctic ocean	-1.1156	0.3049	2	69	188	2011.521277
